index,Case,Test,QL_bpd,TargetRPM,TargetP_psi,RPM,TargetVISL_cp,DP_psi,Ns,D_in,DENL_kgm3,WR_%,WC,Head_ft,exp_Ns,BHP_hp,VISL_cP_real,QL_round,eff_%,R2_m,Ptank_psi,Tin_F,QG_bpd,Pump,Comments
80,DN1750_Banjar,Emulsion,194.2097497,2000,100,2000,90,2.40781384,2185,4,904.7978308,30.39621907,0.3,6.14587127,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
81,DN1750_Banjar,Emulsion,194.2556463,2000,100,2000,90,3.60573096,2185,4,930.803552,50.20165715,0.5,8.946381022,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
82,DN1750_Banjar,Emulsion,195.3137896,2000,100,2000,90,3.58261602,2185,4,930.8825249,50.24834967,0.5,8.888275135,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
83,DN1750_Banjar,Emulsion,195.4042776,2000,100,2000,90,3.58709444,2185,4,930.7784871,50.19790603,0.5,8.900380581,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
84,DN1750_Banjar,Emulsion,196.346333,2000,100,2000,90,3.59819304,2185,4,930.8166843,50.22313144,0.5,8.927552312,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
85,DN1750_Banjar,Emulsion,196.4070729,2000,100,2000,90,3.58196937,2185,4,930.8224492,50.2093674,0.5,8.887244382,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
86,DN1750_Banjar,Emulsion,196.6393339,2000,100,2000,90,3.58455731,2185,4,930.7857817,50.20346033,0.5,8.894015692,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
87,DN1750_Banjar,Emulsion,196.8892403,2000,100,2000,90,3.5889864,2185,4,930.8426406,50.23713843,0.5,8.904461219,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
88,DN1750_Banjar,Emulsion,198.4084234,2000,100,2000,90,2.47030258,2185,4,892.9864337,20.5207409,0.2,6.388772074,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
89,DN1750_Banjar,Emulsion,206.9949456,2000,100,2000,90,2.35852893,2185,4,904.580624,30.144908,0.3,6.021518575,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
90,DN1750_Banjar,Emulsion,216.403447,2000,100,2000,90,2.32493787,2185,4,904.4443812,29.9815956,0.3,5.936651978,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
91,DN1750_Banjar,Emulsion,220.0647993,2000,100,2000,90,2.2854003,2185,4,904.5355206,30.11719719,0.3,5.835106106,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
